,date,open,high,low,close,volume
1038,2012-02-15,53.76,54.15,53.17,5.725425093302985,373649
1039,2012-02-16,53.25,54.0,53.2,5.778060333372751,446297
1040,2012-02-17,52.42,52.92,50.96,5.594374087415,849103
1041,2012-02-21,52.2,53.22,51.56,5.578261258822215,487342
1042,2012-02-22,51.57,51.68,50.33,5.459026327235605,390862
1043,2012-02-23,51.0,51.18,50.58,5.453655384371344,292471
1044,2012-02-24,50.75,50.93,50.12,5.399945955728726,293427
1045,2012-02-27,50.0,50.6,49.68,5.350533281377519,367335
1046,2012-02-28,50.0,50.41,49.41,5.398871767155874,297177
1047,2012-02-29,50.26,50.66,49.64,5.3333462642118805,261462
1048,2012-03-01,49.51,49.96,48.71,5.242040235519432,374409
1049,2012-03-02,48.86,49.17,47.7,5.202295258323895,543547
1050,2012-03-05,48.11,49.01,48.01,5.242040235519432,237381
1051,2012-03-06,48.35,48.68,48.02,5.165772846846916,312737
1052,2012-03-07,48.1,48.85,48.06,5.237743481228022,227054
1053,2012-03-08,49.16,49.54,48.26,5.309714115609129,259665
1054,2012-03-09,49.62,50.38,49.52,5.370942864261713,213180
1055,2012-03-12,50.16,50.42,49.62,5.360200978533189,251770
1056,2012-03-13,50.05,50.12,49.42,5.383833127135941,328189
1057,2012-03-14,49.86,50.14,49.16,5.309714115609129,178122
1058,2012-03-15,49.61,50.22,49.05,5.38812988142735,288677
1059,2012-03-16,49.99,50.0,48.53,5.21840808691668,323005
1060,2012-03-19,48.47,48.76,48.05,5.197998504032486,268374
1061,2012-03-20,48.03,48.1,47.41,5.121731115359969,297966
1062,2012-03-21,47.94,48.48,47.31,5.08520870388299,303016
1063,2012-03-22,47.08,47.92,46.87,5.139992321098459,221164
1064,2012-03-23,47.73,47.73,46.42,5.074466818154467,291043
1065,2012-03-26,48.08,50.89,47.92,5.412836218602955,856859
1066,2012-03-27,50.43,50.75,49.99,5.402094332874431,248130
1067,2012-03-28,50.25,50.86,49.0,5.307565738463424,167720
1068,2012-03-29,49.21,49.57,48.95,5.297898041307754,168277
1069,2012-03-30,50.25,51.0,49.97,5.408539464311545,484623
1070,2012-04-02,50.46,51.19,50.32,5.478361721546947,377087
1071,2012-04-03,50.87,51.23,50.54,5.465471458672719,249494
1072,2012-04-04,50.29,50.34,49.12,5.339791395648995,210965
1073,2012-04-05,49.47,49.96,48.34,5.3290495099204716,361965
1074,2012-04-09,48.75,48.99,48.56,5.256004686966512,197047
