Username,location,friend_count,review_count,photo_count,rating,date,review
Michael W.,"Aurora, CO",2,4,1,4.0,3/2/2012,New bourbon black and blue burger had excellent flavor. My wife got the blackened steak penne and loved it as well.
Dave M.,"Redondo Beach, CA",712,102,115,4.0,9/9/2011,Nice service good food good for the buckgoin between for  4-6pm and 9pm till closing half off on app and good happy hour drinks and price s no I don't them
Patrick C.,"Aurora, CO",23,52,6,2.0,9/28/2013,same old same old. pretty good service. food is rushed.
