Username,location,friend_count,review_count,photo_count,rating,date,review
Dior S.,"Brooklyn, NY",0,9,,1.0,12/9/2015,"This cheesecake factory is the worst. The service and the atmosphere was very uncomfortable because everything was rushed & food was just OK. The servers dont know how annoying it is to check on u every 2 mins..i just want to chill and relax wit my bf( it was his birthday) but here u cant do that. Just swallow your food ,pay & leave Anyways I liked the one in San Francisco a lot ..I won't be coming back to this one here ever even if its free .... Very bad"
Mr. Nice G.,"Fresno, CA",16,222,186,4.0,9/3/2015,"Pretty good place to eat, like everyone else I come for the bread and cheesecake. The four cheese pasta is my favorite."
Alexis B.,"Parrish, United States",0,33,24,4.0,10/7/2016,"We enjoyed our dinner here.  Service was good though the server was a little too attentive and kept interrupting us.  Hubbys order was wrong (chicken pasta instead of shrimp) but they corrected it immediately and let us keep both, which was good because the chicken was better he said.  Bread rolls were delicious and cheesecake was magnificent and huge huge portion.  I had chicken BBQ pizza, it was just ok, I wouldn't get it again, definitely had better pizza."
Gina H.,"Fresno, United States",0,21,,5.0,1/1/2016,"I really pay attention to detail and I never find a restaurant that earns 5 stars but tonight the star's aligned. To start great service from our server Rachel we were placed at a small table which was ok  since there was only myself and husband  I glanced apond a booth which was still to be cleaned and apparently she saw that and asked with a smile if we wanted to move we told her we'd leave it for a larger group even though we would like it and she insisted, more comfy. Food was excellent I had the eggplant parmesan and my husband the mac and cheese burger, drinks and godiva chocolate dessert. I will definitely return and I hope Rachel will be my server. Thanks for making our 26th wedding anniversary special."
Vic M.,"Chico, United States",0,359,608,3.0,16/5/2014,"If you like heavy desserts this place rates a 4. If you're wanting a meal it's a 3 or 3 1/2. Their small asparagus salad is great however avoid the chicken coated with pretzels as it's terribly dry with inferior chicken on a stick. Service is good. Want a house scotch on the rocks? Yes, they have it at $9.25 an unreal ripoff price. All in all not a bad place."
Patrick T.,"Los Angeles, United States",142,2,1,5.0,29/7/2016,"Oh my! One of the best experiences I've had in Fresno by far. Lovely atmosphere, great food, and exceptional service. The steak Diane was to die for, yum. Upon arrival, Emma greater us with a contagious smile and made our whole group fell very welcome. Our sever Leanndra was extremely  attentive and helpful with all of our needs. If I could give 6 stars, I would."
Christian E.,"San Diego, United States",39,9,,4.0,27/7/2016,"I've always liked this place. A huge menu will have you coming back time and time again just to try everything. I love the avocado egg rolls and the crab artichoke dip. Their cheesecake menu is great! Only negative is in the evenings, the light can be too dim which makes the menu hard to see."
Jeremy C.,"Madera, United States",203,117,3035,4.0,20/6/2014,"If your looking for options look no further this menu is huge!  I enjoy food, the ambiance and the many choices of items to order at the Cheesecake Factory. Perfect for date night or a family gathering. Average prices and if you like cheesecake there is great selection to choose from, you can order a slice or a whole cake. Me, I do not like cheesecake so I cannot tell how good it is or is not.  The restaurant is nicely decorated, wait staff are dressed well and professional. The parking at this location is not the greatest as it shares the parking lot with the mall. You just might be that lucky person who pulls in at the right time, and that right time would be as someone is backing out of a spot in front of the restaurant or right across from it.  I have not tried all the menu items so I can not speak for all the food. The food I have tried has been good, seasoned well and nothing to complain about. My favorite item so far is the free range roasted chicken with mashed potatoes and carrots. I would recommend giving this place a try if you have never been."
Hector C.,"Tulare, United States",0,11,,2.0,24/4/2016,Was not really impressed with food quality. First time will probably be the last time I visit there again. Maybe if someone offered to take out I wouldn't refuse but other than that would not go. I can say I like the setup and overall appearance of restaurant food just killed it for me.
Jeniviva M.,"Fresno, United States",1,55,7,1.0,29/5/2016,"I would give it a zero Stars if I could. Ordered a cocktail then watched  the bartender drop the orange garnishes  on the floor, pick them up , wash them off in the sink, and put them in my drink. I called for the manager immediately, told him what happened then left. Nasty ass restaurant."
