year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Goodwill,Intangible assets,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Short-term debt,Capital leases,Accounts payable,Accrued liabilities,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Capital leases,Deferred taxes liabilities,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2012,0.8070609054711699,0.01,0.01,0.01,0.01,0.01,0.7055087490944616,0.04797735230574407,0.44327669357487337,0.01,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,0.01,1.0,1.0,1.0,0.8070609054711699,0.8070609054711699,0.5640395464447288,0.01,0.9999999999999999,0.01,0.01,0.8826580353312794,0.01,0.01,0.8527646861881575,0.01,1.0,1.0,0.873321603852208,0.8527646861881575,0.5640395464447288,0.8978640216642368,1.0,0.01,0.12275344107075004,1.0000000000000002,0.13186813186813207,0.8978640216642368,0.8070609054711699,0.48691364143800886
2013,0.7436012387553461,0.31349584983407786,0.5168228491675804,0.5168228491675804,0.5168228491675804,0.623874959819994,0.7729423200819644,0.32280414214408104,0.01,0.31349584983407786,0.7703467459594258,0.7751903269144647,0.9567269866247052,0.6813458262350931,0.7751903269144647,0.01,0.7178753926210675,0.7939446999790922,0.7703467459594258,0.7436012387553461,0.7436012387553461,0.4444227224487509,0.3646139239108832,0.636118597892343,0.3444891796678409,0.3831794956321082,0.8155442030963616,0.29579899729153425,0.3646139239108832,0.5639341729119991,0.014846278730205498,0.7450369418567298,0.80980484515992,1.0,0.5639341729119991,0.4444227224487509,1.0000000000000009,0.6666666666666714,0.34636596761161975,0.33510622753441055,0.875459091569315,0.01,1.0000000000000009,0.7436012387553461,0.715822004739775
2014,1.0,1.0000000000000004,0.49181288007177737,0.49181288007177737,0.49181288007177737,1.0,1.0,1.0,1.0,1.0000000000000004,0.5888878231259884,0.4049932825794893,0.15735641227379915,0.5507495741056214,0.4049932825794893,0.01,0.44313440532558346,0.8847742002927035,0.5888878231259884,1.0,1.0,1.0,1.0,0.01,1.0,0.4540959287951212,1.0,1.0,1.0,1.0,1.0,0.4252971410215225,0.6023015895006143,0.6932123344754153,1.0,1.0,0.4214431073437277,0.3333333333333428,0.5481434643622443,0.01,0.7440015493259744,1.0,0.4214431073437277,1.0,1.0
2015,0.3142132428845308,0.6607672107338578,1.0,1.0,1.0,0.42574734811957615,0.01,0.17730760634731446,0.5719866553732865,0.6607672107338578,0.22399884897606803,0.16261755485893392,0.01,0.2674616695059626,0.16261755485893392,0.01,0.223102526838872,0.2961399749111435,0.22399884897606803,0.3142132428845308,0.3142132428845308,0.2710160308328202,0.6771843052396829,0.01,0.8661298439859082,1.0000000000000002,0.3885270834145771,0.6641502910159627,0.6771843052396829,0.22920154180294716,0.7904060773762733,0.20899453902987464,0.14381240013669183,0.12352995647745146,0.22920154180294716,0.2710160308328202,0.23156056211642984,0.3333333333333428,0.7942529946956114,0.559323767497589,0.34905484198950054,0.6263736263736264,0.23156056211642984,0.3142132428845308,0.8060081500977918
2016,0.01,0.6053669287083401,0.9470391785465058,0.9470391785465058,0.9470391785465058,0.513460302153649,0.01,0.01,0.5354445039843736,0.6053669287083401,0.01,0.01,0.037765538945709665,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.40963589392567723,0.01,0.5702063412179164,0.8139113235536508,0.01,0.7660923183311237,0.40963589392567723,0.01,0.8232639349786091,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,0.01,0.6263736263736264,0.01,0.01,0.7525972957576332
