year,Cash Flows From Operating Activities,Net income,Depreciation & amortization,Amortization of debt discount/premium and issuance costs,Investment/asset impairment charges,Deferred income taxes,Stock based compensation,Change in working capital,Accounts receivable,Prepaid expenses,Accounts payable,Accrued liabilities,Interest payable,Other working capital,Other non-cash items,Net cash provided by operating activities,Cash Flows From Investing Activities,"Investments in property, plant, and equipment","Property, plant, and equipment reductions",Other investing activities,Net cash used for investing activities,Cash Flows From Financing Activities,Debt issued,Debt repayment,Common stock repurchased,Excess tax benefit from stock based compensation,Dividend paid,Other financing activities,Net cash provided by (used for) financing activities,Net change in cash,Cash at beginning of period,Cash at end of period,Free Cash Flow,Operating cash flow,Capital expenditure,Free cash flow,adj_close
2012,0.01,1.0,0.9999999999999996,0.9999999999999999,0.0032492873466836115,0.865616949098299,0.964083175803403,0.1190894568690096,0.6224307960080789,1.0,0.536635565312843,0.3300465791543161,0.9948588719758065,0.03584803256445046,0.01,0.01,1.0,0.01,1.0,0.01,1.0,0.01,0.03846153845414201,0.7916624733642754,0.9999999999999999,0.01,1.0,0.8637291413020125,0.01,0.18962806624598885,0.01,0.01,0.01,0.01,0.01,0.01,0.48691364143800886
2013,0.9068861188430353,0.8934977278034922,0.5316838334079712,0.01,0.01,0.8681452322660139,0.17844990548204187,1.0,0.6224307960080789,1.0,1.0,1.0,0.9948588719758065,0.44990502035278157,0.6479384833897002,0.9068861188430353,0.01,0.8762704374723818,0.01,0.07289053215370389,0.01,0.9999999999999999,0.01,0.9993739762729084,0.5905029733134135,1.0,0.1670412527851749,0.7776802979302442,0.9999999999999999,1.0,0.0397355098667217,0.4713758026936409,0.01,0.9068861188430353,0.8762704374723818,0.9129653539918225,0.715822004739775
2014,0.794445116785671,0.8253816026738029,0.46339005821764445,0.01,0.0027925902772188644,0.7471396796441202,0.16143667296786424,0.26882321618743343,0.6224307960080789,0.1122807011915754,0.5000686059275521,0.8895408626217409,0.9948588719758065,0.01,1.0,0.794445116785671,0.022504324112767815,0.9734865223155104,0.00403242513983411,0.3084642809982834,0.022504324112767815,0.6882483113966276,1.0,0.01,0.5566980109558542,0.4639020734449163,0.38036685269624204,0.01,0.6882483113966276,0.06357547433937072,0.4682301890691186,0.44856509632323693,0.01,0.794445116785671,0.9734865223155104,0.8248332257370345,1.0
2015,1.0,0.9564492478972132,0.2501119570085084,0.01,0.0007131212437133964,0.9524106699950394,0.01,0.5380990415335464,0.01,0.01,0.7265367727771679,0.01,0.01,1.0,0.5868002398263005,1.0,0.1148762104359463,0.9111798497569598,0.06384377159442707,0.9999999999999998,0.1148762104359463,0.780481561607187,0.01,0.9998034760957991,0.01,0.2690482138396203,0.04061480460514544,1.0,0.780481561607187,0.9850752697435013,0.44749457588593866,0.9120645564584874,0.01,1.0,0.9111798497569598,1.0,0.8060081500977918
2016,0.7894348299649039,0.9431816876658206,0.01,0.01,0.0007973481622622226,1.0,0.7689981096408318,0.00010649627263048522,1.0,0.9218045066576215,0.4207601536772777,0.0022987115117052426,1.0,0.02404341926729986,0.6270817446781263,0.7894348299649039,0.03500953198580933,1.0,0.01,0.6203618116994585,0.03500953198580933,0.6567882681287467,0.01,1.0,0.21488414330491834,0.2578066450162378,0.02227216703802337,0.7440646709159923,0.6567882681287467,0.015269312773243171,0.868829424527327,0.8637608683298289,0.01,0.7894348299649039,1.0,0.8236066279319991,0.7525972957576332
2017,0.4135665012707248,0.01,0.014442454097626456,0.01,1.0,0.01,1.0000000000000004,0.01,0.3012949982178924,1.0,0.01,0.4951303611396769,0.9948588719758065,0.12602442333785618,0.5663917201716038,0.4135665012707248,0.01219589177724191,0.4639858594785682,0.006513462083154023,0.798758748184339,0.01219589177724191,0.9372285435899128,0.01,0.9998177399275556,0.7276269150774818,0.30452160879340495,0.01,0.7488541144453198,0.9372285435899128,0.01,0.9999999999999999,1.0,0.01,0.4135665012707248,0.4639858594785682,0.424176888315042,0.4602272659247185
