year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Goodwill,Intangible assets,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Short-term debt,Capital leases,Accounts payable,Accrued liabilities,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Capital leases,Deferred taxes liabilities,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2012,2415400000.0,294455000.0,64537000.0,64537000.0,64537000.0,128610000.0,21772000.0,50242000.0,29294000.0,294455000.0,2120945000.0,294375000.0,545675000.0,-251300000.0,294375000.0,697470000.0,806093000.0,323007000.0,2120945000.0,2415400000.0,2415400000.0,2106595000.0,267760000.0,7420000.0,10878000.0,30751000.0,57022000.0,161689000.0,267760000.0,1838835000.0,1202063000.0,176424000.0,362171000.0,98177000.0,1838835000.0,2106595000.0,308805000.0,254000.0,264342000.0,322045000.0,-277684000.0,-152000.0,308805000.0,2415400000.0,52.5665462220959
2013,2404642000.0,331582000.0,106011000.0,106011000.0,106011000.0,144137000.0,23853000.0,53931000.0,3650000.0,331582000.0,2073060000.0,274295000.0,544300000.0,-270005000.0,274295000.0,697470000.0,794057000.0,307238000.0,2073060000.0,2404642000.0,2404642000.0,2089463000.0,284273000.0,4720000.0,12247000.0,40050000.0,55301000.0,171955000.0,284273000.0,1805190000.0,1203517000.0,160550000.0,341578000.0,99545000.0,1805190000.0,2089463000.0,315179000.0,253000.0,274202000.0,336578000.0,-295690000.0,-164000.0,315179000.0,2404642000.0,68.3199328001513
2014,2448108000.0,412884000.0,104004000.0,104004000.0,104004000.0,153498000.0,30860000.0,63021000.0,61501000.0,412884000.0,2035224000.0,241229000.0,518900000.0,-277671000.0,241229000.0,697470000.0,782336000.0,314189000.0,2035224000.0,2448108000.0,2448108000.0,2169035000.0,313049000.0,0.01,14852000.0,41771000.0,60031000.0,196395000.0,313049000.0,1855986000.0,1300000000.0,140643000.0,319111000.0,96232000.0,1855986000.0,2169035000.0,279073000.0,252000.0,279946000.0,313644000.0,-314696000.0,-73000.0,279073000.0,2448108000.0,87.8769544473223
2015,2331850000.0,372709000.0,144785000.0,144785000.0,144785000.0,139206000.0,0.01,51978000.0,36740000.0,372709000.0,1959141000.0,219580000.0,513900000.0,-294300000.0,219580000.0,697470000.0,772949000.0,269142000.0,1959141000.0,2331850000.0,2331850000.0,2064627000.0,298429000.0,0.01,14320000.0,55019000.0,44351000.0,184739000.0,298429000.0,1766198000.0,1279473000.0,127176000.0,269469000.0,90080000.0,1766198000.0,2064627000.0,267223000.0,252000.0,286952000.0,351923000.0,-371797000.0,-107000.0,267223000.0,2331850000.0,74.5265090532723
2016,2278583000.0,366148000.0,140535000.0,140535000.0,140535000.0,141389000.0,0.01,49598000.0,34626000.0,366148000.0,1912435000.0,205055000.0,515100000.0,-310000000.0,205055000.0,697470000.0,763431000.0,246479000.0,1912435000.0,2278583000.0,2278583000.0,2025811000.0,286312000.0,0.01,13144000.0,50503000.0,34388000.0,188277000.0,286312000.0,1739499000.0,1282691000.0,114164000.0,253898000.0,88746000.0,1739499000.0,2025811000.0,252772000.0,251000.0,292809000.0,382082000.0,-422263000.0,-107000.0,252772000.0,2278583000.0,70.8507943535192
