year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6063812528165841,0.7821522306701922,0.6844163658243081,0.5486757459622228,0.6881926209444122,0.46154701353567357,0.46154701353567357,0.46154701353567357,0.01,0.43253968253968256,0.42570281124497994,0.01,1.0,0.9999999999999991,0.01,0.29437156157427
2013,0.11367146212982027,0.06962922646884895,0.24195762310015212,0.2159144029501896,0.4617059891107078,0.06471905320396631,0.2159144029501896,0.5812347904461469,0.3718745674428437,0.96690734055355,0.6238194634546947,0.7097334104766566,0.5701659301259068,0.5701659301259068,0.5701659301259068,0.01,0.5515873015873015,0.5421686746987953,0.01,0.8773289365210228,0.9049043062200957,0.08946416264645096,0.9418535759627593
2014,0.478800123546697,0.4213063753158095,0.5436746612094137,0.4580480964005609,0.730141002373307,0.27331576622545817,0.4580480964005609,0.5969175304191077,0.420638208897138,0.9762334536702768,0.6342560908842048,0.722551070363612,0.579115595208316,0.579115595208316,0.579115595208316,0.01,0.5595238095238095,0.5542168674698795,0.01,0.885243198680957,0.8672248803827758,0.24758787043418318,1.0
2015,0.7947226291643879,0.6730164489598454,1.0,0.6056406793746427,1.0,0.342512908777969,0.6056406793746427,1.0,0.5261776481919845,0.9541716817087846,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.01,0.9999999999999999,1.0,0.01,0.7566364385820279,0.7290669856459333,1.0,0.7421074904782057
2016,0.9048067032584024,0.862370988550234,0.7814769522573561,0.9999999999999998,0.8547256736004467,1.0,0.9999999999999998,0.01,0.9999999999999998,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28837592745259677,0.27811004784688986,0.01582960027567193,0.6517139229792637
2017,1.0,1.0,0.6894981157503306,0.8764244533319483,0.8136534971380707,0.8412106072837493,0.8764244533319483,0.08156827399729608,0.01,0.01,0.030659731727347386,0.04704259201566602,0.02042858334028186,0.02042858334028186,0.02042858334028186,0.01,0.05158730158730157,0.052208835341365445,0.01,0.01,0.01,0.24028687112336344,0.6517139229792637
