year,Cash Flows From Operating Activities,Net income,Depreciation & amortization,Investment/asset impairment charges,Investments losses (gains),Deferred income taxes,Stock based compensation,Change in working capital,Accounts receivable,Inventory,Prepaid expenses,Accounts payable,Accrued liabilities,Income taxes payable,Other working capital,Other non-cash items,Net cash provided by operating activities,Cash Flows From Investing Activities,"Investments in property, plant, and equipment","Acquisitions, net",Other investing activities,Net cash used for investing activities,Cash Flows From Financing Activities,Debt issued,Debt repayment,Common stock issued,Common stock repurchased,Dividend paid,Other financing activities,Net cash provided by (used for) financing activities,Net change in cash,Cash at beginning of period,Cash at end of period,Free Cash Flow,Operating cash flow,Capital expenditure,Free cash flow,adj_close
2013,0.01,0.4091785454660388,0.01,0.4578094108343219,1.0,0.4094785028273943,0.9199029126213594,0.01,1.0,0.9983805668016195,0.7550577208823865,0.01,0.33860045146726864,0.583759830233429,0.01,0.01,0.01,0.6385802443292667,0.4677404028886354,0.7667863264947112,1.0,0.6385802443292667,1.0,1.0,0.01,0.01,0.12163376534899184,1.0,1.0,1.0,0.9999999999999999,0.9905447512624908,0.9999999999999999,0.01,0.01,0.4677404028886354,0.01,0.7082030317386516
2014,0.6648655924316427,0.2618919687727175,0.18453145057766385,0.22910241202056147,1.0,0.01,1.0,0.9999999999999999,0.01,1.0,0.8547834038175791,0.9999999999999999,1.0,1.0,0.11787222065859837,1.0,0.6648655924316427,0.4515737383717522,0.01,0.9999999999999999,0.01,0.4515737383717522,0.4143769814583531,0.01,1.0,1.0,0.42589498613116183,0.6020989674434354,0.5167141098630559,0.4143769814583531,0.9235813862163753,1.0,0.966635590026382,0.01,0.6648655924316427,0.01,0.32274856421327014,1.0
2015,0.74917317232627,0.9359809096368408,0.552029845956354,0.01,0.01,0.8118885198815187,0.38252427184465976,0.21972890883539598,0.678180129990715,0.823076923076923,1.0,0.7984726995036272,0.01,0.7564910747721882,0.33301435406698565,0.2062644142634681,0.74917317232627,0.6346615981043131,0.32946914987964027,0.9999999999999999,0.06096090924745996,0.6346615981043131,0.035894418291862795,0.6686399964413339,0.2505958350318487,0.5550093871155519,0.20964492530292456,0.18247475032443727,0.41131327896599473,0.035894418291862795,0.8889456116237973,0.9397586046345046,0.9157756927776565,0.01,0.74917317232627,0.32946914987964027,0.5636593214125696,0.7881104420035221
2016,1.0,1.0000000000000004,0.9983552631578947,0.933886911822855,1.0,1.0,0.5558252427184467,0.0686341175937259,0.15691736304549675,0.6352226720647773,0.01,0.27155402825505914,0.3381167365366011,0.8702097116464862,0.7599211933577259,0.1404466696891447,1.0,0.01,0.764569872038515,0.01,0.1933298892141668,0.01,0.37931117302334494,0.2529989175723966,0.8827561715504715,0.20983102891613964,0.27890801148437117,0.01,0.2587513463609786,0.37931117302334494,0.059925387787158835,0.847928082805057,0.44615476166861723,0.01,1.0,0.764569872038515,1.0,0.853313069136721
2017,0.21341768257508775,0.21106861784506492,1.0,0.6940292605773033,1.0,0.0075621577955300445,0.26893203883495165,0.4022621152364114,0.8225626740947076,0.01,0.6535604069036461,0.9410462008400151,0.45888423089326025,0.25096741979777804,1.0,0.16408113382350042,0.21341768257508775,0.9603446399115793,0.9263429621183326,0.9999999999999999,0.13024510648068424,0.9603446399115793,0.01,0.8896665233315046,0.1864357185908032,0.191875746438599,0.01,0.185916605540823,0.01,0.01,0.11070096210484981,0.01,0.0021819768710451826,0.01,0.21341768257508775,0.9263429621183326,0.4167325159871287,0.642263333359123
2018,0.044898665538591676,0.01,0.9853177150192556,1.0,1.0,0.17684678215600036,0.01,0.05260891246203364,0.6558960074280409,0.061943319838056676,0.7835752657446565,0.45452462772050395,0.6020101042674406,0.01,0.60754292147481,0.17908182373696557,0.044898665538591676,1.0,1.0,0.9999999999999999,0.13512427529992538,1.0,0.11976414641175914,0.31509022701324124,0.19737957630064595,0.08431472916344589,1.0,0.26039609546916465,0.17662332666564085,0.11976414641175914,0.01,0.0970237455678522,0.01,0.01,0.044898665538591676,1.0,0.3118325119139749,0.621585905186254
