year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2012,0.01,0.01,0.01,0.01,0.01,0.510284270879275,0.01,0.01,0.9531878839228978,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,0.01,0.2685483446388943
2013,0.14268996884941698,0.10513904823791043,0.25062263376362726,0.09973808476876878,0.25239936971780574,0.29557756304879534,0.09973808476876878,0.35725752078851913,1.0,0.38889850157455763,0.39125754948274816,0.3879379610917679,0.3879379610917679,0.3879379610917679,0.01,0.320754716981132,0.3047619047619048,0.01,0.8366579812908466,0.8737415789872074,0.34769543040160267,0.6537511210212585
2014,0.34714466794803833,0.36807424028591473,0.20616703918259338,0.3167262507886135,0.6993744926705823,0.01,0.3167262507886135,0.09683115548849042,0.6435077314128363,0.07907395231338876,0.10267296537702553,0.06946507267901936,0.06946507267901936,0.06946507267901936,0.01,0.17924528301886777,0.17142857142857126,0.01,0.3818290547178691,0.4509121186889713,0.19024396673300714,0.7194483937736342
2015,0.6039402173913047,0.5573732625316019,0.6569082698535782,0.8690997380847691,0.7937258272453804,1.0000000000000004,0.8690997380847691,0.426156612193791,0.705570853632705,0.43911132643526996,0.43520899360162657,0.44070025078522557,0.44070025078522557,0.44070025078522557,0.01,0.5094339622641508,0.49523809523809503,0.01,0.256417923198498,0.30270229354325995,0.49659290110846044,0.6329256247888051
2016,0.9666249668610822,0.9063950005584269,0.9999999999999996,0.9046781501519869,1.0,0.7281985485746358,0.9046781501519869,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.9999999999999998,0.9999999999999998,0.01,0.1108453291187903,0.11603966391643361,1.0,1.0
2017,1.0,1.0,0.8105824932719061,0.9999999999999996,0.9944372821467793,0.9374523876348184,0.9999999999999996,0.5866536102995474,0.537174327472993,0.598349309616915,0.057944148777133275,0.8183876701322101,0.8183876701322101,0.8183876701322101,0.01,0.8962264150943391,0.8952380952380954,0.01,0.01,0.01,0.7256395724321547,0.7304300042141474
