year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative","Restructuring, merger and acquisition",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2013,2846098000.0,2306004000.0,540094000.0,283319000.0,136773000.0,0.01,146546000.0,283319000.0,256775000.0,29118000.0,2658000.0,230315000.0,66956000.0,163359000.0,163359000.0,163359000.0,0.01,2.28,2.2,0.01,71788000.0,74158000.0,390914000.0,41.5825142107761
2014,2905452000.0,2345888000.0,559564000.0,317399000.0,137647000.0,0.01,179752000.0,317399000.0,242165000.0,28091000.0,2214000.0,216288000.0,62249000.0,154039000.0,154039000.0,154039000.0,0.01,2.33,2.26,0.01,66251000.0,68152000.0,380460000.0,53.7187136745967
2015,3002278000.0,2407603000.0,594675000.0,283473000.0,134649000.0,0.01,148824000.0,283473000.0,311202000.0,29006000.0,2081000.0,284277000.0,87583000.0,196694000.0,196694000.0,196694000.0,0.01,3.12,3.05,0.01,63072000.0,64404000.0,458525000.0,44.9059629614267
2016,3257489000.0,2638872000.0,618617000.0,301141000.0,130897000.0,0.01,170244000.0,301141000.0,317476000.0,32574000.0,1485000.0,286387000.0,85642000.0,200745000.0,200745000.0,200745000.0,0.01,3.47,3.42,0.01,57895000.0,58684000.0,475329000.0,47.6178214607408
2017,3150837000.0,2582776000.0,568061000.0,311883000.0,139410000.0,2739000.0,169734000.0,311883000.0,256178000.0,49547000.0,1877000.0,208508000.0,57685000.0,150823000.0,150823000.0,150823000.0,0.01,2.98,2.94,0.01,50638000.0,51250000.0,416452000.0,38.84
2018,3131735000.0,2570062000.0,561673000.0,318414000.0,139231000.0,0.01,179183000.0,318414000.0,243259000.0,54622000.0,2054000.0,190691000.0,53224000.0,137467000.0,137467000.0,137467000.0,0.01,2.76,2.72,0.01,49000250.0,49539000.0,403344000.0,37.98
