year,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,adj_close
2009,1.0,0.01,0.5548172757475083,0.6108695652173912,0.8145315487571702,0.7869656622284512,0.01,0.01,0.01,0.47829107328933657,0.8333333333333334,0.55,0.8480000000000001,0.9033297529538131,0.78997899789979,0.01,1.0000000000000002,0.01,0.01,0.01,0.23230593607305935,0.6103980857080704,1.0,0.7586807445303145,0.37427210164107994,0.8149416539827499,0.9444444444444442,0.8173115277223774,1.0000000000000002,0.7664097041151796,0.9314516129032258,0.606027987082885,0.42857142857142855,1.0,1.0,1.0000000000000002,0.8538112341614288,0.01,0.01,0.01,0.20827888546979723,0.12884116993706038,0.01,0.01,0.20344510410569447,0.01,0.01,0.01,0.49911727616645646,0.47738693467336685,0.1282051282051282,0.3982300884955752,1.0,0.08188585607940446,0.01,0.8444444444444444,0.35810810810810834,0.04197901049475261,1.0,0.01,1.0000000000000004,0.01,0.01,1.0000000000000002,0.01,0.8134715025906738,0.01,0.01,0.10691601976005627,1.0,0.4127708095781073,0.5872291904218929,0.01,0.7500000000000004,0.12903225806451601,1.0000000000000002,1.0,0.015976761074800283,0.7025723472668809,0.0349840255591054,0.693861693861694,0.9540229885057472,1.0,0.01,0.9444444444444442,0.0
2010,0.900497512437811,0.017793594306050098,1.0,0.8282608695652174,0.7495219885277247,0.7067274001401541,0.01,0.01,0.01,0.497742271622091,0.9999999999999999,0.35,1.0,1.0,0.85998599859986,0.01,0.9794326241134754,0.020567375886524797,0.05242718446601935,0.01,0.0011415525114155268,0.8279312595170762,0.18685121107266434,0.7205834331120061,0.01,0.7781582952815829,1.0,0.7654567211806941,0.6717452876257448,0.01,0.8001152073732719,0.606027987082885,0.6608452672022354,0.7628687816318973,0.984920470977071,0.8930571108622621,0.9637001563071603,0.17588137091230477,0.3202537986308232,0.3921568627450981,0.20827888546979723,0.26471677156608664,0.10114192495921696,0.018714401952807158,0.20344510410569447,0.23207603207603208,0.4074152096060669,0.43189655172413793,0.3536948297604035,0.25139028475711894,0.32692307692307676,0.531654186521443,0.01,0.3126550868486353,0.02768166089965396,0.8222222222222222,0.5000000000000002,0.2548725637181408,0.7827455919395465,0.26652601969057654,0.5028248587570623,0.01,0.09701492537313428,0.3875,0.01,1.0,0.1783088235294118,0.2142857142857142,0.2589978828510935,0.6411338962605548,0.3869251235271758,0.6130748764728241,0.01,0.7812500000000004,0.25806451612903203,0.6717452876257448,0.8203045685279189,0.01,0.747588424437299,0.01,0.7556332556332558,1.0,0.9407105136821893,0.12903225806451601,1.0,0.28603753836758683
2011,0.5783582089552239,0.22064056939501775,0.978405315614618,0.8641304347826086,0.8986615678776291,0.9039943938332164,0.01,0.01,0.5,0.571726293852032,0.5476190476190476,0.01,0.472,0.8968850698174006,0.18991899189918993,0.01,0.7780141843971633,0.2219858156028367,0.21229773462783175,0.01,0.01,0.8640417663693712,0.441522491349481,0.8368346576684446,0.7511911064055056,0.8901572805682394,0.6666666666666665,0.9090546469884324,0.23049125891200312,1.0,0.9351958525345622,0.606027987082885,0.18477121900104776,0.11134427848413778,0.8690353232803141,0.7122060470324749,0.8459709335195718,0.2176175979573799,0.28285189514109205,0.3011982570806101,0.20827888546979723,0.26471677156608664,1.0,0.5419039869812856,0.20344510410569447,0.23207603207603208,0.6151253423214661,0.7418103448275862,0.12312736443883981,0.07266331658291458,1.0,0.31586113002042193,0.9473853580048271,0.01,0.3598615916955017,1.0000000000000002,0.01,0.01,0.5755667506297231,0.5801687763713077,0.6525423728813564,0.01,0.0671641791044777,0.3375,0.01,0.4196891191709844,0.5036764705882353,0.3437499999999998,0.14890613973182765,0.6133896260554883,0.2725199543899661,0.7274800456100343,0.01,0.01,0.01,0.23049125891200312,0.23604060913705585,0.15522875816993453,0.9999999999999999,0.06118210862619805,1.0,0.6471264367816092,0.7030724915986559,0.1693548387096775,0.6666666666666665,0.20429624103416338
2012,0.29850746268656714,0.512455516014235,0.9385382059800664,0.8989130434782608,1.0,1.0,0.01,0.01,1.0,0.97742271622091,0.01,0.44999999999999996,0.01,0.20300751879699247,0.26992699269926995,0.01,0.4872340425531916,0.5127659574468084,0.5171521035598705,0.01,0.00353881278538813,0.8987383075919078,0.7868512110726644,0.9800805486012845,0.912916887241927,0.9894723490613901,0.38888888888888906,1.0,0.07627698017384511,0.8041605260174582,1.0,0.8955866523143167,0.12888578414250784,0.07492902110850513,0.5940921297252635,0.49160134378499437,1.0,0.9999999999999999,0.5697111370846553,0.8562091503267975,0.5024659613033764,1.0,0.10114192495921696,1.0,0.49790952420770973,1.0,0.4074152096060669,1.0,0.01,0.01,0.7051282051282051,0.01,0.9314561544650041,0.08684863523573194,0.6712802768166091,0.01,0.2702702702702704,0.23988005997001505,0.20088161209068012,0.869198312236287,0.7203389830508473,0.01,0.18656716417910446,0.375,0.01,0.44041450777202074,0.6875,0.6183035714285714,0.01,0.3805790108564535,0.012542759407069504,0.9874572405929305,0.01,0.09375,0.12903225806451601,0.07627698017384511,0.07529610829103214,0.4466230936819171,0.01,0.17204472843450475,0.01,0.2942528735632184,0.01,0.3548387096774195,0.38888888888888906,0.48691364143800886
2013,0.03731343283582089,0.9252669039145909,0.9352159468438538,0.9847826086956522,0.892925430210325,0.8973370707778556,0.772609819121447,0.516668094952438,1.0,0.9840222299409518,0.5952380952380952,0.95,0.6799999999999999,0.44575725026852847,0.46994699469947,0.01,0.0755319148936171,0.9244680851063827,0.7255663430420713,0.01,0.008904109589041096,0.984881444420274,0.31695501730103814,0.9184717535648199,0.9229751191106406,0.9469812278031455,0.01,0.9230155564419625,0.07442133020802813,0.6019158825529984,0.8960253456221198,0.831001076426265,0.01,0.01,0.01,0.2620380739081747,0.8544347999600919,0.5713443975252871,0.28569043245950915,0.6933551198257082,0.024533153479745384,0.26471677156608664,0.10114192495921696,0.5834011391375101,0.018647044067229696,0.23207603207603208,0.4074152096060669,0.7801724137931034,1.0,1.0,0.1346153846153847,0.9959155888359426,0.9539823008849558,0.5186104218362284,0.9031141868512114,0.01,0.01,0.47976011994002965,0.15176322418136023,0.8537271448663852,0.5536723163841808,0.01,0.4850746268656715,0.2375,0.01,0.4093264248704662,0.7830882352941178,0.7812500000000002,0.00988002822865175,0.29975874547647763,0.01,1.0,0.01,0.31249999999999956,0.6451612903225805,0.07442133020802813,0.0730964467005076,0.9054103122730571,0.01,0.5538338658146964,0.01,0.034482758620689724,0.01,0.3870967741935485,0.01,0.715822004739775
2014,0.05597014925373145,0.9110320284697511,0.9401993355481728,0.9826086956521739,0.8240917782026769,0.8342676944639102,0.8062015503875969,0.6426428999914302,1.0,1.0,0.5238095238095238,1.0,0.616,0.6745435016111708,1.0000000000000002,0.01,0.09148936170212774,0.9085106382978723,0.7165048543689321,0.01,0.007990867579908677,0.982271046334566,0.01,0.816262109502558,0.7766013763896241,0.876331811263318,0.01,0.8647786198643798,0.08555523000292997,0.5417753089218909,0.8389976958525345,0.7696447793326159,0.9399231575270693,0.07961980002468833,0.05391448047923986,0.34658454647256437,0.8550916226013503,0.62329372483551,1.0,0.8371459694989107,0.01,0.01,0.3466557911908646,0.08868999186330351,0.01,0.10579150579150581,0.9999999999999999,0.503448275862069,0.2485245901639344,0.1860636515912898,0.012820512820512775,0.8822328114363511,0.9766693483507644,0.4789081885856079,1.0,0.01,1.0000000000000002,0.9415292353823088,0.05352644836272036,0.7426160337552745,0.5677966101694918,0.01,0.5149253731343283,0.01,0.01,0.4870466321243525,0.9613970588235297,0.997767857142857,0.11750176429075498,0.16043425814234014,0.06499429874572415,0.9350057012542761,0.01,0.7812500000000004,0.45161290322580605,0.08555523000292997,0.0871404399323181,0.9999999999999999,0.01,0.6437699680511182,0.01,0.01,0.01,0.620967741935484,0.01,1.0
2015,0.0883084577114428,0.9572953736654806,0.96843853820598,0.9945652173913042,0.9560229445506692,0.9611072179397336,0.9121447028423773,1.0,1.0,0.9343522056269538,0.6587301587301587,0.95,0.744,0.45649838882921584,0.73997399739974,0.01,0.045035460992908005,0.954964539007092,0.7514563106796117,0.01,0.003767123287671233,0.9946704372416793,0.5446366782006922,1.0,0.9999999999999999,0.9994926433282597,0.05555555555555558,0.9784603111288392,0.08516456685223167,0.6880739145221629,0.9089861751152074,1.0000000000000002,0.9999999999999998,0.1797308974200716,0.08882462301177446,0.3885778275475924,0.8600967774119526,0.24943533339880186,0.6598764401402573,1.0,1.0,0.186474145378255,0.10114192495921696,0.7575264442636289,1.0,0.19685179685179688,0.4074152096060669,0.8383620689655172,0.3574779319041614,0.2572194304857622,0.0576923076923076,1.0,0.9467417538213999,0.9652605459057073,0.8961937716262973,0.01,0.1385135135135136,0.8080959520239879,0.026448362720403074,0.926160337552743,0.20338983050847448,0.01,0.9999999999999999,0.01,0.01,0.20207253886010357,0.9448529411764706,1.0000000000000002,0.17995765702187683,0.049457177322074886,0.06271379703534796,0.9372862029646523,0.01,0.5625,0.8709677419354835,0.08516456685223167,0.08883248730964466,0.9183006535947712,0.01,0.7918530351437698,0.01,0.028735632183908066,0.01,0.959677419354839,0.05555555555555558,0.8060081500977918
2016,0.029850746268656803,1.0,0.946843853820598,1.0,0.9426386233269598,0.9544498948843727,0.9612403100775193,0.5723712400377067,0.5,0.9145536644668287,0.5158730158730159,1.0,0.608,0.719656283566058,0.7999799979998,0.01,0.01,0.9999999999999998,0.7948220064724918,0.01,0.0049086757990867615,1.0,0.5065743944636678,0.9933601828670948,0.9526204340921122,1.0,0.05555555555555558,0.9728759473474272,0.08789920890711984,0.6838793787552431,0.9035138248847926,0.9806243272335847,0.6189311910583304,0.26342426860881374,0.1412931212559389,0.3426651735722284,0.849146961987429,0.2276342924481979,0.6769076640507599,0.9580610021786493,0.18037347721620367,0.39787732938417875,0.5440456769983687,0.6851098454027663,0.1890208211388912,0.3088803088803089,0.5441331367179271,0.7836206896551725,0.22042875157629255,0.1661641541038526,0.01,0.9196732471068751,0.9454545454545455,0.9553349875930521,0.9792387543252596,0.01,0.10472972972972983,0.8215892053973013,0.01,0.9999999999999996,0.01,0.01,0.8955223880597017,0.01,0.01,0.01,1.0,0.9486607142857142,0.23006351446718387,0.01,0.0767768909160016,0.9232231090839986,0.01,0.6562500000000004,0.967741935483871,0.08789920890711984,0.09340101522842639,0.96078431372549,0.01,1.0,0.01,0.013793103448275779,0.01,0.9838709677419359,0.05555555555555558,0.7525972957576332
2017,0.01,0.9430604982206408,0.01,0.01,0.01,0.01,0.9999999999999999,0.01,0.5,0.01,0.2698412698412699,0.7,0.31199999999999994,0.01,0.01,0.01,0.05709219858156045,0.9429078014184398,1.0,0.01,1.0,0.01,0.5301038062283738,0.01,0.01,0.01,0.2777777777777777,0.01,0.01,0.4733023466727128,0.01,0.01,0.6067062521830247,0.2677447228737193,0.34868828754389597,0.01,0.01,0.2176175979573799,0.28569043245950915,0.3583877995642702,0.20827888546979723,0.26471677156608664,0.10114192495921696,0.018714401952807158,0.20344510410569447,0.23207603207603208,0.4074152096060669,0.43189655172413793,0.28524590163934427,0.2088107202680067,0.6602564102564101,0.5527569775357385,0.9238938053097345,1.0,0.8685121107266434,0.01,0.5506756756756757,1.0,0.2002518891687658,0.45218002812939506,0.9661016949152548,0.01,0.44029850746268673,0.01,0.01,0.44041450777202074,0.9246323529411766,0.908482142857143,1.0,0.1598311218335342,1.0,0.01,0.01,0.9999999999999996,1.0,0.01,0.01,0.5292302106027594,0.01,0.4672523961661341,0.01,0.22988505747126442,0.01,1.0,0.2777777777777777,0.4602272659247185
