year,Revenue,Cost of revenue,Gross profit,Operating expenses,"Sales, General and administrative",Other operating expenses,Total operating expenses,Operating income,Interest Expense,Other income (expense),Income before taxes,Provision for income taxes,Net income from continuing operations,Net income,Preferred dividend,Net income available to common shareholders,Earnings per share,Basic,Diluted,Weighted average shares outstanding,Basic,Diluted,EBITDA,adj_close
2012,0.9999999999999996,1.0000000000000002,0.8380906527271463,0.04350894597763827,1.0000000000000009,0.01228517407132174,0.04350894597763827,0.9633244277168426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.01,1.0,1.0,0.01,0.21988018637674678,0.8084527480500636,1.0,0.48691364143800886
2013,0.12618997955863298,0.07973297809063595,0.3279225989866337,0.01,0.01,0.00432897175162501,0.01,0.9660819637227767,0.7337444900584573,0.39750048206710376,0.860524905203391,0.6505911029859841,0.8934977278034922,0.8934977278034922,0.8579091406677612,0.8941311247362482,0.01,0.8934169278996864,0.8973370707778556,0.01,1.0,1.0,0.8459378872657629,0.715822004739775
2014,0.1867673438738473,0.12445619847710998,0.45225485475846483,0.0038388100965264793,0.11839625044576874,0.003916957491040103,0.0038388100965264793,0.9717790399791211,0.6651279819898219,0.01,0.7628810889863877,0.36494820231566116,0.8253816026738029,0.8253816026738029,0.7835796387520525,0.8261255837604988,0.01,0.8296760710553813,0.8342676944639102,0.01,0.8952740181939198,0.8657718120805367,0.750916669796087,1.0
2015,0.29569896958825215,0.1353740125547489,1.0,0.017434215925317353,0.603291048958174,3.5745529457138076e-05,0.017434215925317353,1.0,0.03357990124671284,0.40514124566139603,0.9565325286375097,0.9570627666057281,0.9564492478972132,0.9564492478972132,0.8798029556650245,0.9578133797808936,0.01,0.9561128526645768,0.9611072179397336,0.01,0.7923230530286212,0.7293669508434615,0.8737376544368922,0.8060081500977918
2016,0.09909891118434766,0.01,0.5509090492239253,0.005558524073260185,0.27250496714045536,0.01,0.005558524073260185,0.9775482311247863,0.01,0.37967605090628614,0.9308447982635513,0.8522973796465569,0.9431816876658206,0.9431816876658206,0.8783798576902024,0.9443350147194344,0.01,0.9494949494949494,0.9544498948843727,0.01,0.2536055025515864,0.26283330310175934,0.8443922039881333,0.7525972957576332
2017,0.01,0.0013469072747740451,0.01,1.0,0.9737123643588577,0.9999999999999999,1.0,0.01,0.007359200892941509,0.42225462784419593,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4602272659247185
