year,Cash Flows From Operating Activities,Net income,Depreciation & amortization,Investment/asset impairment charges,Deferred income taxes,Stock based compensation,Change in working capital,Accounts receivable,Inventory,Prepaid expenses,Accounts payable,Accrued liabilities,Income taxes payable,Other working capital,Other non-cash items,Net cash provided by operating activities,Cash Flows From Investing Activities,"Investments in property, plant, and equipment",Purchases of investments,Purchases of intangibles,Net cash used for investing activities,Cash Flows From Financing Activities,Debt issued,Debt repayment,Common stock repurchased,Excess tax benefit from stock based compensation,Dividend paid,Other financing activities,Net cash provided by (used for) financing activities,Net change in cash,Cash at beginning of period,Cash at end of period,Free Cash Flow,Operating cash flow,Capital expenditure,Free cash flow,adj_close
2012,0.01,0.01,0.01,0.9080888587417331,0.01,0.01,0.4524641442880437,0.19411887819171203,0.7380711593270204,0.5315484104919618,0.7640384429944393,0.4165543438304129,1.0,0.016431785296624424,0.775340061430452,0.01,1.0000000000000002,1.0,1.0000000000000002,0.265079365079365,1.0000000000000002,1.0,0.0322769229280426,0.968549999838575,1.0,0.06354629313290058,0.9999999999999998,0.44714960420408434,1.0,1.0,0.109706659952159,1.0,0.01,0.01,0.9999999999999998,0.26101939489448145,0.2685483446388943
2013,0.08785896275280236,0.3879379610917679,0.22285251215559132,0.5392572494488723,1.0,0.31001410437235544,0.01,1.0,0.18497747540682175,0.5727063942946935,0.04342515508983963,0.0018992770493810873,0.01,0.14154327961784702,0.6030715225976305,0.08785896275280236,0.7607886275173465,0.7059660143113231,1.0000000000000002,0.3571428571428572,0.7607886275173465,0.2354651637670504,0.01,1.0,0.01,0.09087803211479331,0.5899920436462831,0.9999999999999999,0.2354651637670504,0.29745404502113443,0.9999999999999998,0.657756862745098,0.01,0.08785896275280236,0.7070336210342427,0.16252598801940432,0.6537511210212585
2014,0.41323764104191363,0.06946507267901936,0.4539168017287949,0.022214685433271156,0.7453280432407567,0.5622002820874472,0.7535356560513794,0.01,1.0,1.0,1.0,1.0000000000000002,0.01,0.01,0.8816147433084687,0.41323764104191363,0.6650750670889443,0.5919939554660067,1.0000000000000002,0.01,0.6650750670889443,0.0907130605243811,0.38461538452071004,0.583333333236111,0.524827695187621,0.016740690126409292,0.5007388042736984,0.4651211778531675,0.0907130605243811,0.5196721714341885,0.45063577993201553,0.5992,0.01,0.41323764104191363,0.5898115386323595,0.4183335390223757,0.7194483937736342
2015,0.37379723562515754,0.44070025078522557,0.6012965964343593,1.0,0.8016790293830143,0.8664786083685942,0.20636584473062464,0.6372959397237338,0.7262112714903006,0.5101535114227003,0.01,0.8369072417595882,0.01,0.11654873045132896,0.9433084686265907,0.37379723562515754,0.18348524043227044,0.01,1.0000000000000002,0.1888888888888891,0.18348524043227044,0.6401698930000816,0.9230769230650886,0.01,0.9030109278325453,0.01,0.34056035462605116,0.5572185636045145,0.6401698930000816,0.3915020151381107,0.35664106760669756,0.3770196078431372,0.01,0.37379723562515754,0.01,0.01,0.6329256247888051
2016,1.0000000000000002,1.0,0.7334954078876281,0.01,0.6758093266632167,1.0,1.0000000000000002,0.37735454164922566,0.7114093959731544,0.10407349208267858,0.4398122850438752,0.7639382428623944,0.01,1.0,1.0,1.0000000000000002,0.13803399173174102,0.5647491073941835,0.17647058820069206,0.37936507936507935,0.13803399173174102,0.01,0.5384615383905325,0.4166666665972222,0.45208892994760963,0.037695023345860376,0.15864401000227302,0.6013326237832325,0.01,0.6882311019364986,0.01,0.5336470588235294,0.01,1.0000000000000002,0.5661243282455177,1.0,1.0
2017,0.33885523896629954,0.8183876701322101,1.0,0.25284042733593354,0.7088724052670922,0.8956276445698166,0.037037037037037035,0.6105064880703224,0.01,0.01,0.5196554273408119,0.01,0.01,0.19408931438425397,0.01,0.33885523896629954,0.01,0.5231188610201631,0.01,1.0,0.01,0.42880013068692313,0.9999999999999999,1.0,0.6055040295622791,1.0,0.01,0.01,0.42880013068692313,0.01,0.5537202568299131,0.01,0.01,0.33885523896629954,0.5303122270419114,0.3045178807066842,0.7304300042141474
