year,Assets,Current assets,Cash,Cash and cash equivalents,Total cash,Receivables,Inventories,Deferred income taxes,Prepaid expenses,Other current assets,Total current assets,Non-current assets,"Property, plant and equipment","Gross property, plant and equipment",Accumulated Depreciation,"Net property, plant and equipment",Goodwill,Intangible assets,Other long-term assets,Total non-current assets,Total assets,Liabilities and stockholders' equity,Liabilities,Current liabilities,Capital leases,Accounts payable,Taxes payable,Accrued liabilities,Deferred revenues,Other current liabilities,Total current liabilities,Non-current liabilities,Long-term debt,Capital leases,Other long-term liabilities,Total non-current liabilities,Total liabilities,Stockholders' equity,Common stock,Additional paid-in capital,Retained earnings,Treasury stock,Accumulated other comprehensive income,Total stockholders' equity,Total liabilities and stockholders' equity,adj_close
2012,597132000.0,74504000.0,22440000.0,22440000.0,22440000.0,16386000.0,18371000.0,3010000.0,13439000.0,858000.0,74504000.0,522628000.0,413258000.0,816682000.0,-403424000.0,413258000.0,62525000.0,37203000.0,9642000.0,522628000.0,597132000.0,597132000.0,290213000.0,102283000.0,784000.0,14241000.0,0.01,54377000.0,28187000.0,4694000.0,102283000.0,187930000.0,125000000.0,0.01,62930000.0,187930000.0,290213000.0,306919000.0,17000.0,185974000.0,228512000.0,-107589000.0,5000.0,306919000.0,597132000.0,35.29
2013,634645000.0,80646000.0,17108000.0,17108000.0,17108000.0,22568000.0,21992000.0,2952000.0,15766000.0,260000.0,80646000.0,553999000.0,444727000.0,891947000.0,-447220000.0,444727000.0,62525000.0,36800000.0,9947000.0,553999000.0,634645000.0,634645000.0,287242000.0,139912000.0,826000.0,19117000.0,0.01,69547000.0,35740000.0,14682000.0,139912000.0,147330000.0,79375000.0,0.01,67955000.0,147330000.0,287242000.0,347403000.0,18000.0,197145000.0,260751000.0,-110486000.0,-25000.0,347403000.0,634645000.0,73.54
2014,735889000.0,99932000.0,22408000.0,22408000.0,22408000.0,23740000.0,25947000.0,4677000.0,23160000.0,0.01,99932000.0,635957000.0,496262000.0,964348000.0,-468086000.0,496262000.0,84115000.0,42479000.0,13101000.0,635957000.0,735889000.0,735889000.0,376118000.0,163669000.0,0.01,28522000.0,9838000.0,53831000.0,45049000.0,26429000.0,163669000.0,212449000.0,139375000.0,7938000.0,65136000.0,212449000.0,376118000.0,359771000.0,18000.0,200617000.0,293312000.0,-132252000.0,-1924000.0,359771000.0,735889000.0,76.975
2015,839979000.0,96740000.0,22705000.0,22705000.0,22705000.0,27760000.0,28223000.0,0.01,18052000.0,0.01,96740000.0,743239000.0,603686000.0,1116571000.0,-512885000.0,603686000.0,81957000.0,39573000.0,18023000.0,743239000.0,839979000.0,839979000.0,465668000.0,177673000.0,0.01,23392000.0,10768000.0,55331000.0,48392000.0,39790000.0,177673000.0,287995000.0,202875000.0,7441000.0,77679000.0,287995000.0,465668000.0,374311000.0,18000.0,205995000.0,341016000.0,-167339000.0,-5379000.0,374311000.0,839979000.0,61.74
2016,918545000.0,92846000.0,11732000.0,11732000.0,11732000.0,24166000.0,29899000.0,0.01,27049000.0,0.01,92846000.0,825699000.0,656439000.0,1228948000.0,-572509000.0,656439000.0,95935000.0,42270000.0,31055000.0,825699000.0,918545000.0,918545000.0,570492000.0,141009000.0,0.01,13740000.0,10282000.0,40370000.0,50199000.0,26418000.0,141009000.0,429483000.0,336375000.0,10805000.0,82303000.0,429483000.0,570492000.0,348053000.0,18000.0,208022000.0,352741000.0,-207720000.0,-5008000.0,348053000.0,918545000.0,56.4
