year,Cash Flows From Operating Activities,Net income,Depreciation & amortization,Amortization of debt discount/premium and issuance costs,Investment/asset impairment charges,Deferred income taxes,Stock based compensation,Change in working capital,Accounts receivable,Inventory,Prepaid expenses,Accounts payable,Other working capital,Other non-cash items,Net cash provided by operating activities,Cash Flows From Investing Activities,"Investments in property, plant, and equipment","Property, plant, and equipment reductions","Acquisitions, net",Other investing activities,Net cash used for investing activities,Cash Flows From Financing Activities,Debt issued,Debt repayment,Common stock repurchased,Other financing activities,Net cash provided by (used for) financing activities,Effect of exchange rate changes,Net change in cash,Cash at beginning of period,Cash at end of period,Free Cash Flow,Operating cash flow,Capital expenditure,Free cash flow,adj_close
2012,0.01,0.46154701353567357,0.01,1.0,0.01,1.0,0.01,0.54249547920434,0.37072608528620826,0.9212924581019264,0.01,0.01,0.8145414410374917,1.0,0.01,1.0,0.9999999999999998,0.08773541361445893,0.9316579316512686,0.01,1.0,0.01,0.01,0.9999999999999999,0.5301034692635422,0.014281006261671947,0.01,0.2922279896373057,0.01,1.0,0.9758498131778002,0.01,0.01,0.9999999999999998,0.9677101618880436,0.29437156157427
2013,0.41143863870745934,0.5701659301259068,0.07359120784398243,0.32186379442196267,0.04764147950745603,0.01,0.01637554585152845,1.0,0.1540530157510565,0.01,1.0000000000000002,1.0,0.884937743593281,0.6814892623716153,0.41143863870745934,0.8903096844364097,0.8220909672322334,0.01,1.0,1.0,0.8903096844364097,0.02285662729412119,0.05679862306368327,0.7969158300932841,0.9999999999999999,1.0,0.02285662729412119,0.2922279896373057,0.40590075994635677,0.35421686746987957,0.4899298277590449,0.01,0.41143863870745934,0.8220909672322334,0.9699921981665691,0.9418535759627593
2014,0.6274063251976623,0.579115595208316,0.24542075207413006,0.5032258028905076,0.27740091680089224,0.01,0.3951965065502181,0.9034215285048064,0.2891535407862723,0.4617508962669128,1.0000000000000002,0.6978157332895385,0.8412720311799399,0.6519607843137255,0.6274063251976623,0.324095712626953,0.5509668560249801,0.01,0.01,0.36977777777777776,0.324095712626953,0.6069111223055119,0.3648881239242685,0.8794750390509048,0.4672915398660985,0.24156871361089743,0.6069111223055119,0.23626943005181344,1.0,0.08085106382978724,0.9729335642030439,0.01,0.6274063251976623,0.5509668560249801,0.7868929198361614,1.0
2015,0.9999999999999996,1.0,0.5900765003771147,0.34336917092020913,0.01824634100189886,0.01,1.0,0.7951365756162558,1.0,0.34410383776828546,1.0000000000000002,0.038101495045710844,0.9231883558100229,0.761437908496732,0.9999999999999996,0.22243779120184604,0.01,0.01,0.9467070781615401,0.16444444444444445,0.22243779120184604,0.5446268129290317,0.9999999999999999,0.01,0.1477541083384053,0.3595517961111721,0.5446268129290317,0.01,0.7204403218596335,0.35257626249679563,0.9999999999999998,0.01,0.9999999999999996,0.01,0.38471815876731025,0.7421074904782057
2016,0.0983585424544513,0.01,0.8411539704773192,0.39784945804910005,1.0000000000000002,0.01,0.8045851528384276,0.01,0.01,0.6636288299816934,1.0000000000000002,0.038101495045710844,0.01,0.01,0.0983585424544513,0.01,0.023672924269214857,0.9999999999999999,0.15880532925873903,0.42666667555555554,0.01,1.0,0.8313253012048193,0.5786249215332284,0.01,0.01,1.0,0.4124352331606217,0.09069065713008495,0.36780312740323007,0.01,0.01,0.0983585424544513,0.023672924269214857,0.01,0.6517139229792637
2017,0.675855104847026,0.02042858334028186,1.0,0.01,0.6098863135512488,0.01,0.8089519650655017,0.7519986675549635,0.17851197336406716,1.0,1.0000000000000002,0.038101495045710844,0.9999999999999999,0.09424603174603174,0.675855104847026,0.8196496024222115,0.7352808396975281,0.01,1.0,0.6577777777777778,0.8196496024222115,0.033457891927249794,0.3347676419965576,0.4939197376168485,0.7673767498478392,0.17400856860375696,0.033457891927249794,1.0,0.673278945015646,0.01,0.29636380205960067,0.01,0.675855104847026,0.7352808396975281,0.9999999999999999,0.6517139229792637
