name,bad,da,good,da2
in,80,NOUN,0.0,0
food,71,NOUN,282.0,NOUN
out,61,NOUN,142.0,NOUN
get,60,NOUN,116.0,NOUN
manager,56,NOUN,37.0,NOUN
service,47,NOUN,239.0,NOUN
minutes,42,NOUN,23.0,NOUN
time,37,NOUN,169.0,NOUN
waitress,33,NOUN,45.0,NOUN
go,30,NOUN,113.0,NOUN
