name,good,da,bad,da2
to,961,NOUN,0.0,0
food,282,NOUN,71.0,NOUN
good,267,NOUN,17.0,NOUN
service,239,NOUN,47.0,NOUN
BJ,188,NOUN,20.0,NOUN
place,177,NOUN,17.0,NOUN
time,169,NOUN,37.0,NOUN
out,142,NOUN,61.0,NOUN
pizza,141,NOUN,28.0,NOUN
one,139,NOUN,23.0,NOUN
